,Date,Symbol,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3,2016-01-04,AAPL,102.61,105.368,102.0,105.35,67649387.0,0.0,1.0,99.13651599555,101.8011540534,98.54716530110201,101.78376337716999,67649387.0
487,2016-01-05,AAPL,105.75,105.85,102.41,102.71,55790992.0,0.0,1.0,102.17022284893999,102.26683771687999,98.94328625966499,99.233130863492,55790992.0
972,2016-01-06,AAPL,100.56,102.37,99.87,100.7,68457388.0,0.0,1.0,97.15591120273399,98.904640312489,96.489268613932,97.29117201785299,68457388.0
1457,2016-01-07,AAPL,98.68,100.13,96.43,96.45,81094428.0,0.0,1.0,95.33955168541901,96.740467270582,93.165717156719,93.185040130307,81094428.0
1942,2016-01-08,AAPL,98.55,99.11,96.76,96.96,70798016.0,0.0,1.0,95.213952357094,95.754995617571,93.484546220928,93.677775956812,70798016.0
2427,2016-01-11,AAPL,98.97,99.06,97.34,98.53,49739377.0,0.0,1.0,95.61973480245199,95.70668818360001,94.044912454993,95.194629383506,49739377.0
2912,2016-01-12,AAPL,100.55,100.69,98.8399,99.96,49154227.0,0.0,1.0,97.14624971594,97.281510531059,95.49403885925899,96.57622199508002,49154227.0
3397,2016-01-13,AAPL,100.32,101.19,97.3,97.39,62439631.0,0.0,1.0,96.92403551967199,97.76458487077,94.00626650781601,94.093219888964,62439631.0
3882,2016-01-14,AAPL,97.96,100.48,95.74,99.52,63170127.0,0.0,1.0,94.64392463623501,97.07861930838001,92.499074567917,96.151116576134,63170127.0
4367,2016-01-15,AAPL,96.2,97.71,95.36,97.13,79833891.0,0.0,1.0,92.943502960451,94.402387466379,92.13193806973601,93.842021232314,79833891.0
4852,2016-01-19,AAPL,98.41,98.65,95.5,96.66,53087747.0,0.0,1.0,95.078691541975,95.310567225037,92.267198884856,93.38793135298599,53087747.0
5337,2016-01-20,AAPL,95.1,98.1897,93.42,96.79,72334416.0,0.0,1.0,91.88073941308599,94.865848987898,90.257609631657,93.513530681311,72334416.0
5822,2016-01-21,AAPL,97.06,97.88,94.94,96.3,52161463.0,0.0,1.0,93.774390824755,94.56663274188101,91.726155624379,93.04011782839399,52161463.0
6307,2016-01-22,AAPL,98.63,101.46,98.37,101.42,65800467.0,0.0,1.0,95.291244251448,98.025445014214,95.04004559479799,97.986799067037,65800467.0
6792,2016-01-25,AAPL,101.52,101.53,99.21,99.44,51794525.0,0.0,1.0,98.083413934979,98.093075421774,95.851610485513,96.07382468178001,51794525.0
7277,2016-01-26,AAPL,99.93,100.88,98.07,99.99,75077002.0,0.0,1.0,96.54723753469801,97.465078780149,94.750200990972,96.605206455463,75077002.0
7762,2016-01-27,AAPL,96.04,96.6289,93.34,93.42,133369674.0,0.0,1.0,92.788919171744,93.35788412905599,90.18031773730301,90.257609631657,133369674.0
8247,2016-01-28,AAPL,93.79,94.52,92.39,94.09,55678825.0,0.0,1.0,90.615084643043,91.32037317902099,89.262476491851,90.90492924687,55678825.0
8732,2016-01-29,AAPL,94.79,97.34,94.35,97.34,64416504.0,0.0,1.0,91.581233322465,94.044912454993,91.15612790351999,94.044912454993,64416504.0
9217,2016-02-01,AAPL,96.47,96.71,95.4,96.43,40943541.0,0.0,1.0,93.20436310389499,93.43623878695699,92.170584016913,93.165717156719,40943541.0
9702,2016-02-02,AAPL,95.42,96.04,94.28,94.48,37357215.0,0.0,1.0,92.189906990502,92.788919171744,91.08849749596001,91.281727231844,37357215.0
10187,2016-02-03,AAPL,95.0,96.84,94.08,96.35,45964294.0,0.0,1.0,91.78412454514401,93.561838115282,90.895267760075,93.08842526236499,45964294.0
10672,2016-02-04,AAPL,95.86,97.33,95.19,96.6,46471652.0,0.52,1.0,93.113561130492,94.54144486575001,92.46275697904801,93.83235974552,46471652.0
11157,2016-02-05,AAPL,96.52,96.92,93.69,94.02,46418064.0,0.0,1.0,93.754651787139,94.143191579046,91.00573275939699,91.32627808772,46418064.0
11642,2016-02-08,AAPL,93.13,95.7,93.04,95.01,54021375.0,0.0,1.0,90.461777050728,92.95814521373,90.374355597549,92.28791407268999,54021375.0
12127,2016-02-09,AAPL,94.29,95.94,93.93,94.99,44331195.0,0.0,1.0,91.58854244725799,93.191269088874,91.238856634541,92.268487083095,44331195.0
12612,2016-02-10,AAPL,95.92,96.35,94.1,94.27,42343601.0,0.0,1.0,93.171842099278,93.589522375578,91.403986046102,91.569115457662,42343601.0
13097,2016-02-11,AAPL,93.79,94.72,92.59,93.7,50074711.0,0.0,1.0,91.102867707374,92.00622272355801,89.93724833165302,91.015446254195,50074711.0
13582,2016-02-12,AAPL,94.19,94.5,93.01,93.99,40351381.0,0.0,1.0,91.49140749928101,91.792525838009,90.345215113156,91.297137603327,40351381.0
14067,2016-02-16,AAPL,95.02,96.85,94.61,96.64,49057916.0,0.0,1.0,92.29762756748801,94.075197115462,91.89937428078301,93.871213724711,49057916.0
14552,2016-02-17,AAPL,96.67,98.21,96.15,98.12,44863243.0,0.0,1.0,93.90035420910401,95.396232407945,93.395252479625,95.308810954766,44863243.0
15037,2016-02-18,AAPL,98.84,98.89,96.09100000000001,96.26,39020983.0,0.0,1.0,96.00818258019899,96.05675005418699,93.337942860319,93.50210092239901,39020983.0
15522,2016-02-19,AAPL,96.0,96.7599,95.8,96.04,35374173.0,0.0,1.0,93.24955005765999,93.98767852733499,93.05528016170601,93.28840403685,35374173.0
16007,2016-02-22,AAPL,96.31,96.9,95.92,96.88,34280758.0,0.0,1.0,93.55066839638799,94.12376458944999,93.171842099278,94.104337599855,34280758.0
16492,2016-02-23,AAPL,96.4,96.5,94.55,94.69,31942633.0,0.0,1.0,93.638089849567,93.735224797543,91.841093311997,91.977082239165,31942633.0
16977,2016-02-24,AAPL,93.98,96.38,93.32,96.1,36255745.0,0.0,1.0,91.28742410853,93.61866285997101,90.646333451883,93.346685005636,36255745.0
17462,2016-02-25,AAPL,96.05,96.76,95.25,96.76,27582659.0,0.0,1.0,93.298117531648,93.987775662283,92.52103794783399,93.987775662283,27582659.0
17947,2016-02-26,AAPL,97.2,98.0237,96.58,96.91,28991131.0,0.0,1.0,94.41516943338002,95.215269999865,93.812932755925,94.13347808424801,28991131.0
18432,2016-02-29,AAPL,96.86,98.23,96.65,96.69,35216277.0,0.0,1.0,94.08491061026,95.415659397541,93.880927219508,93.919781198699,35216277.0
18917,2016-03-01,AAPL,97.65,100.77,97.42,100.53,50407147.0,0.0,1.0,94.852276699276,97.88288707615,94.628866318929,97.649763201006,50407147.0
