^SPX (Standard & Poors 500 Index),2663.68,175.0299
Apr 06 2020 @ 20:19 ET,Bid,2601.24,Ask,2870.36,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
04/06/2020,SPXW200406C01500000,0,0,1060.3,1252.3,0,0.02,0.9969,0,593,1500.000,SPXW200406P01500000,0,0,0,0.05,0,18.001,-0.0002,0,291
04/06/2020,SPXW200406C01600000,0,0,960.3,1152.3,0,0.02,0.9925,0,3,1600.000,SPXW200406P01600000,0,0,0,0.05,0,16.0643,-0.0002,0,226
04/06/2020,SPXW200406C01650000,0,0,910.3,1102.3,0,0.02,0.9871,0.0001,124,1650.000,SPXW200406P01650000,0,0,0,0.05,0,15.2971,-0.0003,0,965
04/06/2020,SPXW200406C01700000,0,0,860.3,1052.3,0,0.02,0.9846,0.0001,2,1700.000,SPXW200406P01700000,0,0,0,0.05,0,14.3163,-0.0003,0,1096
04/06/2020,SPXW200406C01750000,0,0,810.3,1002.3,0,0.02,0.9848,0.0001,1,1750.000,SPXW200406P01750000,0,0,0,0.05,0,13.501,-0.0003,0,682
04/06/2020,SPXW200406C01800000,0,0,760.3,952.3,0,0.02,0.9839,0.0001,12,1800.000,SPXW200406P01800000,0,0,0,0.05,0,12.6376,-0.0003,0,683
04/06/2020,SPXW200406C01825000,0,0,735.3,927.3,0,0.02,0.9842,0.0001,0,1825.000,SPXW200406P01825000,0,0,0,0.05,0,12.1655,-0.0003,0,497
04/06/2020,SPXW200406C01850000,0,0,710.3,902.3,0,0.02,0.9867,0.0001,0,1850.000,SPXW200406P01850000,0,0,0,0.05,0,11.751,-0.0003,0,256
04/06/2020,SPXW200406C01875000,0,0,685.3,877.3,0,0.02,0.9824,0.0001,0,1875.000,SPXW200406P01875000,0,0,0,0.05,0,11.284,-0.0003,0,214
04/06/2020,SPXW200406C01900000,0,0,660.3,852.3,0,0.02,0.9921,0.0001,1,1900.000,SPXW200406P01900000,0,0,0,0.05,0,10.9427,-0.0004,0,1041
04/06/2020,SPXW200406C01910000,0,0,650.3,842.3,0,0.02,0.9816,0.0001,0,1910.000,SPXW200406P01910000,0,0,0,0.1,0,10.7814,-0.0004,0,72
04/06/2020,SPXW200406C01920000,0,0,640.3,832.3,0,0.02,0.9814,0.0001,0,1920.000,SPXW200406P01920000,0,0,0,80,0,10.6088,-0.0004,0,212
04/06/2020,SPXW200406C01925000,0,0,635.3,827.3,0,0.02,0.9812,0.0001,1,1925.000,SPXW200406P01925000,0,0,0,80,0,10.5218,-0.0004,0,427
04/06/2020,SPXW200406C01930000,0,0,630.3,822.3,0,0.02,0.9811,0.0001,0,1930.000,SPXW200406P01930000,0,0,0,80,0,10.5182,-0.0004,0,60
04/06/2020,SPXW200406C01940000,0,0,620.3,812.3,0,0.02,0.9809,0.0001,0,1940.000,SPXW200406P01940000,0,0,0,80,0,10.3284,-0.0004,0,30
04/06/2020,SPXW200406C01950000,0,0,610.3,802.3,0,0.02,0.9922,0.0001,33,1950.000,SPXW200406P01950000,0,0,0,80,0,10.1519,-0.0004,0,748
04/06/2020,SPXW200406C01960000,0,0,600.3,792.3,0,0.02,0.9803,0.0001,0,1960.000,SPXW200406P01960000,0,0,0,80,0,10.001,-0.0004,0,169
04/06/2020,SPXW200406C01970000,0,0,590.3,782.3,0,0.02,0.9801,0.0001,0,1970.000,SPXW200406P01970000,0,0,0,80,0,9.8367,-0.0004,0,622
04/06/2020,SPXW200406C01975000,0,0,585.3,777.3,0,0.02,0.9799,0.0001,32,1975.000,SPXW200406P01975000,0,0,0,80,0,9.751,-0.0004,0,166
04/06/2020,SPXW200406C01980000,0,0,580.3,772.3,0,0.02,0.9798,0.0001,0,1980.000,SPXW200406P01980000,0,0,0,80,0,9.703,-0.0004,0,526
04/06/2020,SPXW200406C01990000,0,0,570.3,762.3,0,0.02,0.9795,0.0001,0,1990.000,SPXW200406P01990000,0,0,0,80,0,9.501,-0.0004,0,241
04/06/2020,SPXW200406C02000000,625.97,161.12,560.3,752.3,5,0.02,0.9778,0.0001,5,2000.000,SPXW200406P02000000,0.05,0.025,0,0.05,3,9.4124,-0.0004,0,3264
04/06/2020,SPXW200406C02005000,0,0,555.3,747.3,0,0.02,0.9791,0.0001,0,2005.000,SPXW200406P02005000,0,0,0,80,0,9.2899,-0.0004,0,287
04/06/2020,SPXW200406C02010000,0,0,550.3,742.3,0,0.02,0.9789,0.0001,2,2010.000,SPXW200406P02010000,0,0,0,0.05,0,9.1569,-0.0004,0,252
04/06/2020,SPXW200406C02015000,0,0,545.3,737.3,0,0.02,0.9788,0.0001,0,2015.000,SPXW200406P02015000,0,0,0,80,0,9.0752,-0.0004,0,105
04/06/2020,SPXW200406C02020000,0,0,540.3,732.3,0,0.02,0.9786,0.0001,1,2020.000,SPXW200406P02020000,0,0,0,80,0,9.0761,-0.0004,0,289
04/06/2020,SPXW200406C02025000,0,0,535.3,727.3,0,0.02,0.9785,0.0001,1,2025.000,SPXW200406P02025000,0,0,0,0.05,0,9.0004,-0.0004,0,17044
04/06/2020,SPXW200406C02030000,0,0,530.3,722.3,0,0.02,0.9783,0.0001,1,2030.000,SPXW200406P02030000,0,0,0,0.05,0,8.9244,-0.0004,0,15516
04/06/2020,SPXW200406C02035000,0,0,525.3,717.3,0,0.02,0.9782,0.0001,1,2035.000,SPXW200406P02035000,0,0,0,80,0,8.8481,-0.0004,0,188
04/06/2020,SPXW200406C02040000,0,0,520.3,712.3,0,0.02,0.978,0.0001,0,2040.000,SPXW200406P02040000,0,0,0,0.05,0,8.7715,-0.0004,0,5492
04/06/2020,SPXW200406C02045000,0,0,515.3,707.3,0,0.02,0.9779,0.0001,1,2045.000,SPXW200406P02045000,0,0,0,0.1,0,8.6948,-0.0004,0,548
04/06/2020,SPXW200406C02050000,0,0,510.3,702.3,0,0.02,0.991,0.0001,0,2050.000,SPXW200406P02050000,0.05,0,0,0.05,2,8.6182,-0.0004,0,16391
04/06/2020,SPXW200406C02055000,0,0,505.3,697.3,0,0.02,0.9775,0.0001,0,2055.000,SPXW200406P02055000,0,0,0,80,0,8.5418,-0.0004,0,383
04/06/2020,SPXW200406C02060000,0,0,500.3,692.3,0,0.02,0.9774,0.0002,0,2060.000,SPXW200406P02060000,0,0,0,80,0,8.4571,-0.0004,0,182
04/06/2020,SPXW200406C02065000,0,0,495.3,687.3,0,0.02,0.9772,0.0002,0,2065.000,SPXW200406P02065000,0,0,0,80,0,8.373,-0.0004,0,154
04/06/2020,SPXW200406C02070000,0,0,490.3,682.3,0,0.02,0.977,0.0002,1,2070.000,SPXW200406P02070000,0,0,0,80,0,8.3557,-0.0005,0,174
04/06/2020,SPXW200406C02075000,554.75,164.85,485.3,677.3,5,0.02,0.9768,0.0002,5,2075.000,SPXW200406P02075000,0,0,0,80,0,8.2639,-0.0005,0,183
04/06/2020,SPXW200406C02080000,0,0,480.3,672.3,0,0.02,0.9767,0.0002,1,2080.000,SPXW200406P02080000,0,0,0,0.05,0,8.1771,-0.0005,0,58
04/06/2020,SPXW200406C02085000,0,0,475.3,667.3,0,0.02,0.9765,0.0002,0,2085.000,SPXW200406P02085000,0,0,0,80,0,8.0952,-0.0005,0,243
